        size,          ops,         time,      op/time
      131072,     31248384,     0.078998,  3.95559e+08
      262144,     31248384,     0.103622,  3.01561e+08
      393216,     31248384,     0.136028,   2.2972e+08
      524288,     31244288,     0.093683,  3.33511e+08
      655360,     31242240,     0.117423,  2.66066e+08
      786432,     31248384,     0.144971,  2.15549e+08
      917504,     31238144,     0.144472,  2.16223e+08
     1048576,     31244288,     0.148496,  2.10405e+08
     1179648,     31242240,     0.152563,  2.04783e+08
     1310720,     31232000,     0.142866,   2.1861e+08
     1441792,     31246336,     0.154389,  2.02387e+08
     1572864,     31236096,     0.140037,  2.23056e+08
     1703936,     31229952,     0.150371,  2.07686e+08
     1835008,     31223808,     0.146056,   2.1378e+08
     1966080,     31242240,     0.187591,  1.66544e+08
     2097152,     31227904,     0.139836,  2.23318e+08
     2228224,     31229952,     0.141997,  2.19934e+08
     2359296,     31223808,     0.147193,  2.12128e+08
     2490368,     31246336,     0.147005,  2.12553e+08
     2621440,     31211520,     0.143951,   2.1682e+08
     2752512,     31223808,     0.152681,  2.04504e+08
     2883584,     31223808,     0.152335,  2.04968e+08
     3014656,     31229952,     0.148774,  2.09915e+08
     3145728,     31211520,     0.157335,  1.98376e+08
     3276800,     31232000,     0.167266,  1.86721e+08
     3407872,     31203328,     0.237104,  1.31602e+08
     3538944,     31242240,     0.274691,  1.13736e+08
     3670016,     31195136,     0.313512,  9.95022e+07
     3801088,     31240192,     0.307032,  1.01749e+08
     3932160,     31211520,     0.321319,  9.71356e+07
     4063232,     31236096,     0.341711,  9.14109e+07
     4194304,     31195136,     0.330355,  9.44291e+07
     4325376,     31223808,     0.303625,  1.02837e+08
     4456448,     31195136,     0.188660,  1.65351e+08
     4587520,     31180800,     0.186793,  1.66927e+08
     4718592,     31186944,     0.192092,  1.62354e+08
     4849664,     31219712,     0.237005,  1.31726e+08
     4980736,     31207424,     0.250390,  1.24635e+08
     5111808,     31229952,     0.173305,  1.80202e+08
     5242880,     31211520,     0.241265,  1.29366e+08
     5373952,     31236096,     0.214201,  1.45826e+08
     5505024,     31223808,     0.200348,  1.55848e+08
     5636096,     31174656,     0.210961,  1.47774e+08
     5767168,     31178752,     0.199761,   1.5608e+08
     5898240,     31242240,     0.199453,   1.5664e+08
     6029312,     31182848,     0.200187,  1.55769e+08
     6160384,     31186944,     0.210594,   1.4809e+08
     6291456,     31162368,     0.210235,  1.48226e+08
     6422528,     31209472,     0.198208,  1.57458e+08
     6553600,     31232000,     0.211106,  1.47945e+08
     6684672,     31229952,     0.245200,  1.27365e+08
     6815744,     31203328,     0.220917,  1.41245e+08
     6946816,     31152128,     0.215015,  1.44884e+08
     7077888,     31186944,     0.212943,  1.46457e+08
     7208960,     31201280,     0.211667,  1.47407e+08
     7340032,     31195136,     0.217878,  1.43177e+08
     7471104,     31168512,     0.267177,  1.16659e+08
     7602176,     31240192,     0.219292,  1.42459e+08
     7733248,     31174656,     0.215928,  1.44375e+08
     7864320,     31211520,     0.224711,  1.38896e+08
     7995392,     31232000,     0.233968,  1.33488e+08
     8126464,     31236096,     0.231965,  1.34659e+08
     8257536,     31223808,     0.230914,  1.35218e+08
